classifier,model1,model2,image_size,n_component,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
RF,VGG16,InceptionV3,128,100,0.836,0.841,0.836,0.8340000000000001,0.6890000000000001,0.733,0.6890000000000001,0.71,0.981,0.982,0.019,0.311,0.267,0.978
RF,VGG19,ResNet101V2,128,100,0.836,0.841,0.836,0.8340000000000001,0.6970000000000001,0.74,0.6970000000000001,0.718,0.981,0.982,0.019,0.303,0.26,0.978
RF,VGG16,ResNet50V2,128,100,0.835,0.846,0.835,0.836,0.72,0.727,0.72,0.723,0.982,0.982,0.018000000000000002,0.28,0.273,0.978
RF,VGG19,DenseNet121,128,50,0.835,0.845,0.835,0.836,0.742,0.725,0.742,0.733,0.982,0.981,0.018000000000000002,0.258,0.275,0.978
RF,ResNet101V2,DenseNet121,256,100,0.835,0.85,0.835,0.836,0.721,0.767,0.721,0.743,0.981,0.981,0.019,0.27899999999999997,0.233,0.978
RF,VGG16,DenseNet121,128,50,0.835,0.8420000000000001,0.835,0.835,0.736,0.723,0.736,0.7290000000000001,0.982,0.981,0.018000000000000002,0.264,0.27699999999999997,0.978
RF,MobileNet,DenseNet121,128,50,0.835,0.8420000000000001,0.835,0.835,0.725,0.7020000000000001,0.725,0.713,0.983,0.982,0.017,0.275,0.298,0.978
RF,Xception,MobileNet,256,50,0.835,0.845,0.835,0.8340000000000001,0.71,0.7340000000000001,0.71,0.722,0.981,0.982,0.019,0.29,0.266,0.978
RF,Xception,MobileNet,256,500,0.835,0.8370000000000001,0.835,0.828,0.675,0.7879999999999999,0.675,0.727,0.978,0.982,0.022000000000000002,0.325,0.212,0.978
RF,VGG16,ResNet152V2,256,50,0.8340000000000001,0.845,0.8340000000000001,0.836,0.735,0.728,0.735,0.731,0.983,0.981,0.017,0.265,0.272,0.978
RF,VGG19,DenseNet169,256,50,0.8340000000000001,0.8490000000000001,0.8340000000000001,0.836,0.735,0.733,0.735,0.7340000000000001,0.983,0.981,0.017,0.265,0.267,0.978
RF,VGG19,DenseNet201,256,50,0.8340000000000001,0.847,0.8340000000000001,0.836,0.738,0.7340000000000001,0.738,0.736,0.982,0.981,0.018000000000000002,0.262,0.266,0.978
