classifier,model1,model2,image_size,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc,valid
RF,MobileNetV2,DenseNet169,256,0.887,0.8859999999999999,0.887,0.8809999999999999,0.735,0.862,0.735,0.7929999999999999,0.9840000000000001,0.99,0.016,0.265,0.138,0.985,1
RF,MobileNetV2,DenseNet201,256,0.887,0.885,0.887,0.8809999999999999,0.743,0.871,0.743,0.802,0.9840000000000001,0.9890000000000001,0.016,0.257,0.129,0.985,1
RF,VGG16,MobileNet,256,0.8859999999999999,0.8909999999999999,0.8859999999999999,0.883,0.742,0.8440000000000001,0.742,0.79,0.986,0.9890000000000001,0.013999999999999999,0.258,0.156,0.985,1
RF,ResNet50V2,DenseNet169,256,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8809999999999999,0.731,0.872,0.731,0.795,0.9840000000000001,0.9890000000000001,0.016,0.26899999999999996,0.128,0.985,1
RF,VGG16,VGG19,256,0.885,0.887,0.885,0.882,0.765,0.8490000000000001,0.765,0.805,0.986,0.988,0.013999999999999999,0.235,0.151,0.985,1
RF,VGG16,ResNet50V2,256,0.885,0.889,0.885,0.8809999999999999,0.738,0.866,0.738,0.797,0.9840000000000001,0.9890000000000001,0.016,0.262,0.134,0.985,1
RF,DenseNet169,DenseNet201,256,0.885,0.884,0.885,0.8809999999999999,0.763,0.852,0.763,0.805,0.985,0.988,0.015,0.237,0.14800000000000002,0.985,1
RF,VGG19,DenseNet169,128,0.884,0.888,0.884,0.883,0.7879999999999999,0.852,0.7879999999999999,0.8190000000000001,0.986,0.987,0.013999999999999999,0.212,0.14800000000000002,0.985,1
RF,VGG16,DenseNet121,256,0.884,0.89,0.884,0.882,0.769,0.8440000000000001,0.769,0.805,0.986,0.988,0.013999999999999999,0.231,0.156,0.9840000000000001,1
RF,VGG16,ResNet101V2,256,0.884,0.888,0.884,0.88,0.735,0.853,0.735,0.79,0.985,0.9890000000000001,0.015,0.265,0.147,0.9840000000000001,1
RF,VGG19,ResNet50V2,256,0.884,0.8859999999999999,0.884,0.88,0.74,0.8740000000000001,0.74,0.8009999999999999,0.985,0.9890000000000001,0.015,0.26,0.126,0.985,1
RF,VGG16,MobileNet,128,0.882,0.885,0.882,0.879,0.74,0.8390000000000001,0.74,0.7859999999999999,0.986,0.988,0.013999999999999999,0.26,0.161,0.9840000000000001,1
RF,ResNet101V2,DenseNet201,128,0.882,0.884,0.882,0.879,0.746,0.8420000000000001,0.746,0.7909999999999999,0.985,0.988,0.015,0.254,0.158,0.9840000000000001,1
RF,VGG16,DenseNet169,256,0.882,0.883,0.882,0.878,0.753,0.843,0.753,0.795,0.985,0.988,0.015,0.247,0.157,0.9840000000000001,1
RF,InceptionResNetV2,DenseNet201,256,0.882,0.883,0.882,0.878,0.7609999999999999,0.8640000000000001,0.7609999999999999,0.809,0.9840000000000001,0.988,0.016,0.239,0.136,0.9840000000000001,1
RF,InceptionResNetV2,DenseNet201,128,0.882,0.88,0.882,0.877,0.748,0.8220000000000001,0.748,0.7829999999999999,0.985,0.988,0.015,0.252,0.17800000000000002,0.9840000000000001,1
RF,MobileNet,DenseNet201,128,0.8809999999999999,0.88,0.8809999999999999,0.878,0.752,0.8029999999999999,0.752,0.777,0.985,0.988,0.015,0.248,0.19699999999999998,0.9840000000000001,1
RF,ResNet152V2,DenseNet201,128,0.8809999999999999,0.882,0.8809999999999999,0.877,0.7440000000000001,0.84,0.7440000000000001,0.789,0.9840000000000001,0.988,0.016,0.256,0.16,0.9840000000000001,1
RF,VGG16,DenseNet169,128,0.88,0.885,0.88,0.879,0.768,0.843,0.768,0.804,0.986,0.987,0.013999999999999999,0.23199999999999998,0.157,0.9840000000000001,1
RF,ResNet50V2,DenseNet201,128,0.88,0.8809999999999999,0.88,0.878,0.767,0.8240000000000001,0.767,0.794,0.985,0.987,0.015,0.233,0.17600000000000002,0.9840000000000001,1
RF,VGG16,ResNet152V2,256,0.88,0.885,0.88,0.877,0.757,0.865,0.757,0.807,0.9840000000000001,0.988,0.016,0.243,0.135,0.9840000000000001,1
RF,MobileNetV2,DenseNet121,256,0.88,0.882,0.88,0.877,0.743,0.835,0.743,0.7859999999999999,0.985,0.988,0.015,0.257,0.165,0.9840000000000001,1
RF,DenseNet121,DenseNet169,256,0.88,0.88,0.88,0.877,0.767,0.8370000000000001,0.767,0.8,0.985,0.988,0.015,0.233,0.163,0.9840000000000001,1
RF,VGG19,ResNet152V2,256,0.88,0.88,0.88,0.875,0.733,0.852,0.733,0.7879999999999999,0.9840000000000001,0.988,0.016,0.267,0.14800000000000002,0.9840000000000001,1
RF,ResNet50V2,DenseNet121,256,0.88,0.883,0.88,0.875,0.736,0.8759999999999999,0.736,0.8,0.983,0.988,0.017,0.264,0.124,0.9840000000000001,1
RF,ResNet101V2,DenseNet121,256,0.88,0.8809999999999999,0.88,0.875,0.731,0.843,0.731,0.7829999999999999,0.9840000000000001,0.9890000000000001,0.016,0.26899999999999996,0.157,0.9840000000000001,1
RF,InceptionV3,DenseNet121,256,0.88,0.8809999999999999,0.88,0.875,0.737,0.847,0.737,0.7879999999999999,0.9840000000000001,0.988,0.016,0.263,0.153,0.9840000000000001,1
